year,rsdt
1850,340.21585802052124
1851,340.21585802052124
1852,340.2255170430222
1853,340.21585802052124
1854,340.21585802052124
1855,340.21585802052124
1856,340.2255170430222
1857,340.21585802052124
1858,340.21585802052124
1859,340.21585802052124
1860,340.2255170430222
1861,340.21585802052124
1862,340.21585802052124
1863,340.21585802052124
1864,340.2255170430222
1865,340.21585802052124
1866,340.21585802052124
1867,340.21585802052124
1868,340.2255170430222
1869,340.21585802052124
1870,340.21585802052124
1871,340.21585802052124
1872,340.2255170430222
1873,340.21585802052124
1874,340.21585802052124
1875,340.21585802052124
1876,340.2255170430222
1877,340.21585802052124
1878,340.21585802052124
1879,340.21585802052124
1880,340.2255170430222
1881,340.21585802052124
1882,340.21585802052124
1883,340.21585802052124
1884,340.2255170430222
1885,340.21585802052124
1886,340.21585802052124
1887,340.21585802052124
1888,340.2255170430222
1889,340.21585802052124
1890,340.21585802052124
1891,340.21585802052124
1892,340.2255170430222
1893,340.21585802052124
1894,340.21585802052124
1895,340.21585802052124
1896,340.2255170430222
1897,340.21585802052124
1898,340.21585802052124
1899,340.21585802052124
1900,340.21585802052124
1901,340.21585802052124
1902,340.21585802052124
1903,340.21585802052124
1904,340.2255170430222
1905,340.21585802052124
1906,340.21585802052124
1907,340.21585802052124
1908,340.2255170430222
1909,340.21585802052124
1910,340.21585802052124
1911,340.21585802052124
1912,340.2255170430222
1913,340.21585802052124
1914,340.21585802052124
1915,340.21585802052124
1916,340.2255170430222
1917,340.21585802052124
1918,340.21585802052124
1919,340.21585802052124
1920,340.2255170430222
1921,340.21585802052124
1922,340.21585802052124
1923,340.21585802052124
1924,340.2255170430222
1925,340.21585802052124
1926,340.21585802052124
1927,340.21585802052124
1928,340.2255170430222
1929,340.21585802052124
1930,340.21585802052124
1931,340.21585802052124
1932,340.2255170430222
1933,340.21585802052124
1934,340.21585802052124
1935,340.21585802052124
1936,340.2255170430222
1937,340.21585802052124
1938,340.21585802052124
1939,340.21585802052124
1940,340.2255170430222
1941,340.21585802052124
1942,340.21585802052124
1943,340.21585802052124
1944,340.2255170430222
1945,340.21585802052124
1946,340.21585802052124
1947,340.21585802052124
1948,340.2255170430222
1949,340.21585802052124
1950,340.21585802052124
1951,340.21585802052124
1952,340.2255170430222
1953,340.21585802052124
1954,340.21585802052124
1955,340.21585802052124
1956,340.2255170430222
1957,340.21585802052124
1958,340.21585802052124
1959,340.21585802052124
1960,340.2255170430222
1961,340.21585802052124
1962,340.21585802052124
1963,340.21585802052124
1964,340.2255170430222
1965,340.21585802052124
1966,340.21585802052124
1967,340.21585802052124
1968,340.2255170430222
1969,340.21585802052124
1970,340.21585802052124
1971,340.21585802052124
1972,340.2255170430222
1973,340.21585802052124
1974,340.21585802052124
1975,340.21585802052124
1976,340.2255170430222
1977,340.21585802052124
1978,340.21585802052124
1979,340.21585802052124
1980,340.2255170430222
1981,340.21585802052124
1982,340.21585802052124
1983,340.21585802052124
1984,340.2255170430222
1985,340.21585802052124
1986,340.21585802052124
1987,340.21585802052124
1988,340.2255170430222
1989,340.21585802052124
1990,340.21585802052124
1991,340.21585802052124
1992,340.2255170430222
1993,340.21585802052124
1994,340.21585802052124
1995,340.21585802052124
1996,340.2255170430222
1997,340.21585802052124
1998,340.21585802052124
1999,340.21585802052124
2000,340.2255170430222
2001,340.21585802052124
2002,340.21585802052124
2003,340.21585802052124
2004,340.2255170430222
2005,340.21585802052124
2006,340.21585802052124
2007,340.21585802052124
2008,340.2255170430222
2009,340.21585802052124
2010,340.21585802052124
2011,340.21585802052124
2012,340.2255170430222
2013,340.21585802052124
2014,340.21585802052124
2015,340.21585802052124
2016,340.2255170430222
2017,340.21585802052124
2018,340.21585802052124
2019,340.21585802052124
2020,340.2255170430222
2021,340.21585802052124
2022,340.21585802052124
2023,340.21585802052124
2024,340.2255170430222
2025,340.21585802052124
2026,340.21585802052124
2027,340.21585802052124
2028,340.2255170430222
2029,340.21585802052124
2030,340.21585802052124
2031,340.21585802052124
2032,340.2255170430222
2033,340.21585802052124
2034,340.21585802052124
2035,340.21585802052124
2036,340.2255170430222
2037,340.21585802052124
2038,340.21585802052124
2039,340.21585802052124
2040,340.2255170430222
2041,340.21585802052124
2042,340.21585802052124
2043,340.21585802052124
2044,340.2255170430222
2045,340.21585802052124
2046,340.21585802052124
2047,340.21585802052124
2048,340.2255170430222
2049,340.21585802052124
2050,340.21585802052124
2051,340.21585802052124
2052,340.2255170430222
2053,340.21585802052124
2054,340.21585802052124
2055,340.21585802052124
2056,340.2255170430222
2057,340.21585802052124
2058,340.21585802052124
2059,340.21585802052124
2060,340.2255170430222
2061,340.21585802052124
2062,340.21585802052124
2063,340.21585802052124
2064,340.2255170430222
2065,340.21585802052124
2066,340.21585802052124
2067,340.21585802052124
2068,340.2255170430222
2069,340.21585802052124
2070,340.21585802052124
2071,340.21585802052124
2072,340.2255170430222
2073,340.21585802052124
2074,340.21585802052124
2075,340.21585802052124
2076,340.2255170430222
2077,340.21585802052124
2078,340.21585802052124
2079,340.21585802052124
2080,340.2255170430222
2081,340.21585802052124
2082,340.21585802052124
2083,340.21585802052124
2084,340.2255170430222
2085,340.21585802052124
2086,340.21585802052124
2087,340.21585802052124
2088,340.2255170430222
2089,340.21585802052124
2090,340.21585802052124
2091,340.21585802052124
2092,340.2255170430222
2093,340.21585802052124
2094,340.21585802052124
2095,340.21585802052124
2096,340.2255170430222
2097,340.21585802052124
2098,340.21585802052124
2099,340.21585802052124
2100,340.21585802052124
