year,rsdt
1850,340.2226432068707
1851,340.2226432068707
1852,340.2167275624732
1853,340.2226432068707
1854,340.2226432068707
1855,340.2226432068707
1856,340.2167275624732
1857,340.2226432068707
1858,340.2226432068707
1859,340.2226432068707
1860,340.2167275624732
1861,340.2226432068707
1862,340.2226432068707
1863,340.2226432068707
1864,340.2167275624732
1865,340.2226432068707
1866,340.2226432068707
1867,340.2226432068707
1868,340.2167275624732
1869,340.2226432068707
1870,340.2226432068707
1871,340.2226432068707
1872,340.2167275624732
1873,340.2226432068707
1874,340.2226432068707
1875,340.2226432068707
1876,340.2167275624732
1877,340.2226432068707
1878,340.2226432068707
1879,340.2226432068707
1880,340.2167275624732
1881,340.2226432068707
1882,340.2226432068707
1883,340.2226432068707
1884,340.2167275624732
1885,340.2226432068707
1886,340.2226432068707
1887,340.2226432068707
1888,340.2167275624732
1889,340.2226432068707
1890,340.2226432068707
1891,340.2226432068707
1892,340.2167275624732
1893,340.2226432068707
1894,340.2226432068707
1895,340.2226432068707
1896,340.2167275624732
1897,340.2226432068707
1898,340.2226432068707
1899,340.2226432068707
1900,340.2226432068707
1901,340.2226432068707
1902,340.2226432068707
1903,340.2226432068707
1904,340.2167275624732
1905,340.2226432068707
1906,340.2226432068707
1907,340.2226432068707
1908,340.2167275624732
1909,340.2226432068707
1910,340.2226432068707
1911,340.2226432068707
1912,340.2167275624732
1913,340.2226432068707
1914,340.2226432068707
1915,340.2226432068707
1916,340.2167275624732
1917,340.2226432068707
1918,340.2226432068707
1919,340.2226432068707
1920,340.2167275624732
1921,340.2226432068707
1922,340.2226432068707
1923,340.2226432068707
1924,340.2167275624732
1925,340.2226432068707
1926,340.2226432068707
1927,340.2226432068707
1928,340.2167275624732
1929,340.2226432068707
1930,340.2226432068707
1931,340.2226432068707
1932,340.2167275624732
1933,340.2226432068707
1934,340.2226432068707
1935,340.2226432068707
1936,340.2167275624732
1937,340.2226432068707
1938,340.2226432068707
1939,340.2226432068707
1940,340.2167275624732
1941,340.2226432068707
1942,340.2226432068707
1943,340.2226432068707
1944,340.2167275624732
1945,340.2226432068707
1946,340.2226432068707
1947,340.2226432068707
1948,340.2167275624732
1949,340.2226432068707
1950,340.2226432068707
1951,340.2226432068707
1952,340.2167275624732
1953,340.2226432068707
1954,340.2226432068707
1955,340.2226432068707
1956,340.2167275624732
1957,340.2226432068707
1958,340.2226432068707
1959,340.2226432068707
1960,340.2167275624732
1961,340.2226432068707
1962,340.2226432068707
1963,340.2226432068707
1964,340.2167275624732
1965,340.2226432068707
1966,340.2226432068707
1967,340.2226432068707
1968,340.2167275624732
1969,340.2226432068707
1970,340.2226432068707
1971,340.2226432068707
1972,340.2167275624732
1973,340.2226432068707
1974,340.2226432068707
1975,340.2226432068707
1976,340.2167275624732
1977,340.2226432068707
1978,340.2226432068707
1979,340.2226432068707
1980,340.2167275624732
1981,340.2226432068707
1982,340.2226432068707
1983,340.2226432068707
1984,340.2167275624732
1985,340.2226432068707
1986,340.2226432068707
1987,340.2226432068707
1988,340.2167275624732
1989,340.2226432068707
1990,340.2226432068707
1991,340.2226432068707
1992,340.2167275624732
1993,340.2226432068707
1994,340.2226432068707
1995,340.2226432068707
1996,340.2167275624732
1997,340.2226432068707
1998,340.2226432068707
1999,340.2226432068707
2000,340.2167275624732
2001,340.2226432068707
2002,340.2226432068707
2003,340.2226432068707
2004,340.2167275624732
2005,340.2226432068707
2006,340.2226432068707
2007,340.2226432068707
2008,340.2167275624732
2009,340.2226432068707
2010,340.2226432068707
2011,340.2226432068707
2012,340.2167275624732
2013,340.2226432068707
2014,340.2226432068707
2015,340.2226432068707
2016,340.2167275624732
2017,340.2226432068707
2018,340.2226432068707
2019,340.2226432068707
2020,340.2167275624732
2021,340.2226432068707
2022,340.2226432068707
2023,340.2226432068707
2024,340.2167275624732
2025,340.2226432068707
2026,340.2226432068707
2027,340.2226432068707
2028,340.2167275624732
2029,340.2226432068707
2030,340.2226432068707
2031,340.2226432068707
2032,340.2167275624732
2033,340.2226432068707
2034,340.2226432068707
2035,340.2226432068707
2036,340.2167275624732
2037,340.2226432068707
2038,340.2226432068707
2039,340.2226432068707
2040,340.2167275624732
2041,340.2226432068707
2042,340.2226432068707
2043,340.2226432068707
2044,340.2167275624732
2045,340.2226432068707
2046,340.2226432068707
2047,340.2226432068707
2048,340.2167275624732
2049,340.2226432068707
2050,340.2226432068707
2051,340.2226432068707
2052,340.2167275624732
2053,340.2226432068707
2054,340.2226432068707
2055,340.2226432068707
2056,340.2167275624732
2057,340.2226432068707
2058,340.2226432068707
2059,340.2226432068707
2060,340.2167275624732
2061,340.2226432068707
2062,340.2226432068707
2063,340.2226432068707
2064,340.2167275624732
2065,340.2226432068707
2066,340.2226432068707
2067,340.2226432068707
2068,340.2167275624732
2069,340.2226432068707
2070,340.2226432068707
2071,340.2226432068707
2072,340.2167275624732
2073,340.2226432068707
2074,340.2226432068707
2075,340.2226432068707
2076,340.2167275624732
2077,340.2226432068707
2078,340.2226432068707
2079,340.2226432068707
2080,340.2167275624732
2081,340.2226432068707
2082,340.2226432068707
2083,340.2226432068707
2084,340.2167275624732
2085,340.2226432068707
2086,340.2226432068707
2087,340.2226432068707
2088,340.2167275624732
2089,340.2226432068707
2090,340.2226432068707
2091,340.2226432068707
2092,340.2167275624732
2093,340.2226432068707
2094,340.2226432068707
