year,rsdt
1850,340.44598405393833
1851,340.44597912096
1852,340.45418308205797
1853,340.44598489003647
1854,340.44598405393833
1855,340.44597912096
1856,340.45418308205797
1857,340.44598489003647
1858,340.44598405393833
1859,340.44597912096
1860,340.45418308205797
1861,340.44598489003647
1862,340.44598405393833
1863,340.44597912096
1864,340.45418308205797
1865,340.44598489003647
1866,340.44598405393833
1867,340.44597912096
1868,340.45418308205797
1869,340.44598489003647
1870,340.44598405393833
1871,340.44597912096
1872,340.45418308205797
1873,340.44598489003647
1874,340.44598405393833
1875,340.44597912096
1876,340.45418308205797
1877,340.44598489003647
1878,340.44598405393833
1879,340.44597912096
1880,340.45418308205797
1881,340.44598489003647
1882,340.44598405393833
1883,340.44597912096
1884,340.45418308205797
1885,340.44598489003647
1886,340.44598405393833
1887,340.44597912096
1888,340.45418308205797
1889,340.44598489003647
1890,340.44598405393833
1891,340.44597912096
1892,340.45418308205797
1893,340.44598489003647
1894,340.44598405393833
1895,340.44597912096
1896,340.45418308205797
1897,340.44598489003647
1898,340.44598405393833
1899,340.44597912096
1900,340.4596190570152
1901,340.44598489003647
1902,340.44598405393833
1903,340.44597912096
1904,340.45418308205797
1905,340.44598489003647
1906,340.44598405393833
1907,340.44597912096
1908,340.45418308205797
1909,340.44598489003647
1910,340.44598405393833
1911,340.44597912096
1912,340.45418308205797
1913,340.44598489003647
1914,340.44598405393833
1915,340.44597912096
1916,340.45418308205797
1917,340.44598489003647
1918,340.44598405393833
1919,340.44597912096
1920,340.45418308205797
1921,340.44598489003647
1922,340.44598405393833
1923,340.44597912096
1924,340.45418308205797
1925,340.44598489003647
1926,340.44598405393833
1927,340.44597912096
1928,340.45418308205797
1929,340.44598489003647
1930,340.44598405393833
1931,340.44597912096
1932,340.45418308205797
1933,340.44598489003647
1934,340.44598405393833
1935,340.44597912096
1936,340.45418308205797
1937,340.44598489003647
1938,340.44598405393833
1939,340.44597912096
1940,340.45418308205797
1941,340.44598489003647
1942,340.44598405393833
1943,340.44597912096
1944,340.45418308205797
1945,340.44598489003647
1946,340.44598405393833
1947,340.44597912096
1948,340.45418308205797
1949,340.44598489003647
1950,340.44598405393833
1951,340.44597912096
1952,340.45418308205797
1953,340.44598489003647
1954,340.44598405393833
1955,340.44597912096
1956,340.45418308205797
1957,340.44598489003647
1958,340.44598405393833
1959,340.44597912096
1960,340.45418308205797
1961,340.44598489003647
1962,340.44598405393833
1963,340.44597912096
1964,340.45418308205797
1965,340.44598489003647
1966,340.44598405393833
1967,340.44597912096
1968,340.45418308205797
1969,340.44598489003647
1970,340.44598405393833
1971,340.44597912096
1972,340.45418308205797
1973,340.44598489003647
1974,340.44598405393833
1975,340.44597912096
1976,340.45418308205797
1977,340.44598489003647
1978,340.44598405393833
1979,340.44597912096
1980,340.45418308205797
1981,340.44598489003647
1982,340.44598405393833
1983,340.44597912096
1984,340.45418308205797
1985,340.44598489003647
1986,340.44598405393833
1987,340.44597912096
1988,340.45418308205797
1989,340.44598489003647
1990,340.44598405393833
1991,340.44597912096
1992,340.45418308205797
1993,340.44598489003647
1994,340.44598405393833
1995,340.44597912096
1996,340.45418308205797
1997,340.44598489003647
1998,340.44598405393833
1999,340.44597912096
2000,340.45418308205797
2001,340.44598489003647
2002,340.44598405393833
2003,340.44597912096
2004,340.45418308205797
2005,340.44598489003647
2006,340.44598405393833
2007,340.44597912096
2008,340.45418308205797
2009,340.44598489003647
2010,340.44598405393833
2011,340.44597912096
2012,340.45418308205797
2013,340.44598489003647
