year,rsdt
2015,340.45846775424724
2016,340.3866694754375
2017,340.36732876117185
2018,340.35941197123356
2019,340.3580514873919
2020,340.36817564492833
2021,340.43919243466524
2022,340.5164959877056
2023,340.56078479181673
2024,340.5787868384967
2025,340.53576124642876
2026,340.48657741800713
2027,340.43731043692424
2028,340.4172533136545
2029,340.3842925185635
2030,340.3664430172458
2031,340.348944510601
2032,340.352835238386
2033,340.3953615119549
2034,340.46987489749284
2035,340.4784941312063
2036,340.51268616433725
2037,340.4775742245337
2038,340.47759840122126
2039,340.42982578120336
2040,340.3845628131929
2041,340.3450165416809
2042,340.3340766719351
2043,340.3393055304056
2044,340.3634729023395
2045,340.4338231415674
2046,340.4819131704528
2047,340.53516676659007
2048,340.541281112179
2049,340.49687064878765
2050,340.4302116304187
2051,340.3969179695412
2052,340.3662438759788
2053,340.344179563607
2054,340.3525587317976
2055,340.39315952167163
2056,340.44385219083483
2057,340.44537697693556
2058,340.45415914252806
2059,340.4599192601648
2060,340.4183725069936
2061,340.38248388679455
2062,340.3529683875675
2063,340.34269600237315
2064,340.33895858808773
2065,340.3515157486216
2066,340.4069196968325
2067,340.4566223312926
2068,340.4848292379641
2069,340.4735086441523
2070,340.44283778313513
2071,340.39881934385556
2072,340.3773676544891
2073,340.3616776777509
2074,340.33864959754663
2075,340.3292126834381
2076,340.31959353840097
2077,340.3320753226159
2078,340.3672250669868
2079,340.4051100828861
2080,340.43174463173256
2081,340.43423603709687
2082,340.4328221620275
2083,340.40488028892156
2084,340.3913218101364
2085,340.3492659655602
2086,340.32600144344764
2087,340.3240702789822
2088,340.3273336554894
2089,340.35993668273886
2090,340.4140748764746
2091,340.4535896760566
2092,340.5055193654126
2093,340.4842735431254
2094,340.44099936450283
2095,340.40660768762507
2096,340.3657722998045
2097,340.3522959727899
2098,340.33940288826705
2099,340.35799289178385
2100,340.40029120900834
2101,340.45116965453565
2102,340.4488268555687
2103,340.4461858227241
2104,340.4250265438298
2105,340.38334391678455
2106,340.3595694157852
2107,340.340068551761
2108,340.3380970844984
2109,340.3505289971277
2110,340.3910317724885
2111,340.4756284754651
2112,340.47909556207134
2113,340.48383347504307
2114,340.43600551546535
2115,340.4214884508278
2116,340.37986241430724
2117,340.3586033649265
2118,340.3444946388127
2119,340.3447647256621
2120,340.3833397602438
2121,340.44341163392306
2122,340.5068316141834
2123,340.4698846520891
2124,340.47932138770454
2125,340.42725488478044
2126,340.38011052356967
2127,340.35795951369397
2128,340.33890974065565
2129,340.3437133468907
2130,340.3824397472759
2131,340.48276641997666
2132,340.49882292911724
2133,340.51866613144574
2134,340.4851877050021
2135,340.43510339480747
2136,340.3755716724748
2137,340.3573385859993
2138,340.3392244138286
2139,340.330630332703
2140,340.33710789829524
2141,340.37725464940274
2142,340.4185344616112
2143,340.4245420320839
2144,340.43411068211327
2145,340.4269705395707
2146,340.39102590924665
2147,340.3866168336894
2148,340.3625780092817
2149,340.3495839823858
2150,340.3434193726301
2151,340.34427076668186
2152,340.3796215851009
2153,340.4477267451033
2154,340.5003094776022
2155,340.49778574352155
2156,340.48805327666116
2157,340.4564988697657
2158,340.40953598842543
2159,340.37134175832625
2160,340.3504767687377
2161,340.352940135074
2162,340.38777909305617
2163,340.4588286622722
2164,340.5269624571449
